
242100,20,20,20,20,20,20,20,24,24,24,20,20,20,20,24,24,24,24,20,20,20,20,20,20
242101,16,16,16,16,16,16,16,20,20,20,16,16,16,16,20,20,20,20,16,16,16,16,16,16
242102,27,27,27,27,27,27,27,32,32,32,27,27,27,27,32,32,32,32,27,27,27,27,27,27
242103,23,23,23,23,23,23,23,27,27,27,23,23,23,23,27,27,27,27,23,23,23,23,23,23
242104,27,27,27,27,27,27,27,32,32,32,27,27,27,27,32,32,32,32,27,27,27,27,27,27
242105,15,15,15,15,15,15,15,18,18,18,15,15,15,15,18,18,18,18,15,15,15,15,15,15
242106,16,16,16,16,16,16,16,19,19,19,16,16,16,16,19,19,19,19,16,16,16,16,16,16
242107,20,20,20,20,20,20,20,24,24,24,20,20,20,20,24,24,24,24,20,20,20,20,20,20
242108,21,21,21,21,21,21,21,25,25,25,21,21,21,21,25,25,25,25,21,21,21,21,21,21
242109,27,27,27,27,27,27,27,33,33,33,27,27,27,27,33,33,33,33,27,27,27,27,27,27
242110,24,24,24,24,24,24,24,28,28,28,24,24,24,24,28,28,28,28,24,24,24,24,24,24
242111,14,14,14,14,14,14,14,16,16,16,14,14,14,14,16,16,16,16,14,14,14,14,14,14
242112,24,24,24,24,24,24,24,29,29,29,24,24,24,24,29,29,29,29,24,24,24,24,24,24
242113,14,14,14,14,14,14,14,17,17,17,14,14,14,14,17,17,17,17,14,14,14,14,14,14
242114,15,15,15,15,15,15,15,18,18,18,15,15,15,15,18,18,18,18,15,15,15,15,15,15
242115,23,23,23,23,23,23,23,27,27,27,23,23,23,23,27,27,27,27,23,23,23,23,23,23
242116,21,21,21,21,21,21,21,25,25,25,21,21,21,21,25,25,25,25,21,21,21,21,21,21
242117,16,16,16,16,16,16,16,19,19,19,16,16,16,16,19,19,19,19,16,16,16,16,16,16
242118,20,20,20,20,20,20,20,25,25,25,20,20,20,20,25,25,25,25,20,20,20,20,20,20
242119,17,17,17,17,17,17,17,20,20,20,17,17,17,17,20,20,20,20,17,17,17,17,17,17
242120,15,15,15,15,15,15,15,18,18,18,15,15,15,15,18,18,18,18,15,15,15,15,15,15
242121,14,14,14,14,14,14,14,17,17,17,14,14,14,14,17,17,17,17,14,14,14,14,14,14
242122,27,27,27,27,27,27,27,33,33,33,27,27,27,27,33,33,33,33,27,27,27,27,27,27
242123,22,22,22,22,22,22,22,26,26,26,22,22,22,22,26,26,26,26,22,22,22,22,22,22
242124,22,22,22,22,22,22,22,27,27,27,22,22,22,22,27,27,27,27,22,22,22,22,22,22
242125,25,25,25,25,25,25,25,30,30,30,25,25,25,25,30,30,30,30,25,25,25,25,25,25
242126,11,11,11,11,11,11,11,13,13,13,11,11,11,11,13,13,13,13,11,11,11,11,11,11
242127,28,28,28,28,28,28,28,34,34,34,28,28,28,28,34,34,34,34,28,28,28,28,28,28
242128,22,22,22,22,22,22,22,26,26,26,22,22,22,22,26,26,26,26,22,22,22,22,22,22
242129,25,25,25,25,25,25,25,29,29,29,25,25,25,25,29,29,29,29,25,25,25,25,25,25

